service_id,date,exception_type
2025_08_11-DX-MVS-Weekday-003,20250901,2
2025_08_11-DX-MVS-Weekday-003,20251127,2
2025_08_11-DX-MVS-Weekday-003,20251225,2
2025_08_11-DX-MVS-Weekday-003,20260101,2
2025_08_11-SU-MVS-Sunday-000,20250901,1
2025_08_11-SU-MVS-Sunday-000,20251127,1
2025_08_11-SU-MVS-Sunday-000,20251225,1
2025_08_11-SU-MVS-Sunday-000,20260101,1
2025_08_11-DX19-Weekday-001,20250901,2
2025_08_11-DX19-Weekday-001,20251127,2
2025_08_11-DX19-Weekday-001,20251225,2
2025_08_11-DX19-Weekday-001,20260101,2
2025_08_11-SU19-Sunday-001,20250901,1
2025_08_11-SU19-Sunday-001,20251127,1
2025_08_11-SU19-Sunday-001,20251225,1
2025_08_11-SU19-Sunday-001,20260101,1
2025_08_11-DX20-Weekday-001,20250901,2
2025_08_11-DX20-Weekday-001,20251127,2
2025_08_11-DX20-Weekday-001,20251225,2
2025_08_11-DX20-Weekday-001,20260101,2
2025_08_11-SU20-Sunday-001,20250901,1
2025_08_11-SU20-Sunday-001,20251127,1
2025_08_11-SU20-Sunday-001,20251225,1
2025_08_11-SU20-Sunday-001,20260101,1
